city,latitude,longitude,country,population
Tokyo,35.685,139.7514,Japan,39105000
Jakarta,-6.1753,106.8269,Indonesia,33756000
Guangzhou,23.13,113.26,China,26940000
Mumbai,19.0758,72.8775,India,24973000
Shanghai,31.2325,121.4692,China,24870895
Mexico City,19.3538,-99.1359,Mexico,23146802
Sao Paulo,-23.5504,-46.6339,Brazil,23086000
Seoul,37.56,126.99,"Korea, South",23016000
Chongqing,29.55,106.5069,China,22251500
Beijing,39.904,116.4075,China,21893095
Kolkata,22.5675,88.37,India,21747000
Cairo,30.0444,31.2358,Egypt,20296000
Karachi,24.86,67.01,Pakistan,20249000
New York,40.6943,-73.9249,United States,19268388
Dhaka,23.7289,90.3944,Bangladesh,19134000
Moscow,55.7506,37.6175,Russia,19100000
Bangkok,13.75,100.5167,Thailand,18007000
Lagos,6.4561,3.3936,Nigeria,16637000
Chengdu,30.66,104.0633,China,16492980
Delhi,28.66,77.23,India,16349831
Kinshasa,-4.3233,15.3081,Congo (Kinshasa),16316000
Istanbul,41.01,28.9603,Turkey,15382791
Ho Chi Minh City,10.7756,106.7019,Vietnam,15136000
Osaka,34.6938,135.5021,Japan,15126000
Shenzhen,22.5467,114.0544,China,14678000
Tehran,35.6889,51.3897,Iran,14148000
Buenos Aires,-34.5997,-58.3819,Argentina,13971006
Tianjin,39.1467,117.2056,China,13866009
Manila,14.5958,120.9772,Philippines,13484482
Lahore,31.5497,74.3436,Pakistan,13004135
Wuhan,30.595,114.2975,China,12447718
Chennai,13.0825,80.275,India,12395000
Los Angeles,34.1141,-118.4068,United States,11984083
Xi'an,34.2611,108.9422,China,11904805
Rio de Janeiro,-22.9111,-43.2056,Brazil,11616000
London,51.5072,-0.1275,United Kingdom,11262000
Paris,48.8567,2.3522,France,11060000
Dongguan,23.0475,113.7493,China,10570800
Bangalore,12.9791,77.5913,India,10456000
Lima,-12.06,-77.0375,Peru,9751717
Nanjing,32.0608,118.7789,China,9341685
Ahmedabad,23.0219,72.5797,India,9272670
Nagoya,35.1814,136.9064,Japan,9197000
Luanda,-8.8383,13.2344,Angola,9051000
Foshan,23.0292,113.1056,China,9042500
Chicago,41.8375,-87.6866,United States,8609571
Taoyuan District,24.9913,121.3143,Taiwan,8535000
Kuala Lumpur,3.1478,101.6953,Malaysia,8430775
Jinan,36.6667,116.9833,China,8352574
Pune,18.5211,73.8553,India,8231000
Baghdad,33.3153,44.3661,Iraq,8126755
Bogota,4.6097,-74.0817,Colombia,7968095
Dar es Salaam,-6.8161,39.2803,Tanzania,7962000
Shenyang,41.8025,123.4281,China,7885142
Khartoum,15.6031,32.5265,Sudan,7869000
Hyderabad,17.3617,78.4747,India,7677018
Hong Kong,22.2783,114.1586,Hong Kong,7450000
Riyadh,24.65,46.71,Saudi Arabia,7237000
Bandung,-6.9218,107.6071,Indonesia,7203000
Qingdao,36.1167,120.4,China,7172451
Santiago,-33.4375,-70.65,Chile,7171000
Harbin,45.75,126.6333,China,6976136
Wuxi,31.5667,120.2833,China,6715559
Suzhou,31.3,120.6194,China,6715559
Zhengzhou,34.7492,113.6605,China,6650532
Surat,21.205,72.84,India,6538000
Baoding,38.8671,115.4845,China,6425944
Miami,25.784,-80.2101,United States,6391670
Surabaya,-7.2463,112.7378,Indonesia,6373373
Houston,29.786,-95.3885,United States,6227666
Madrid,40.4169,-3.7033,Spain,6211000
Belo Horizonte,-19.9281,-43.9419,Brazil,6198834
Changsha,28.1987,112.9709,China,5980707
Nanning,22.8192,108.315,China,5977185
Dallas,32.7935,-96.7667,United States,5968322
Prayagraj,25.45,81.85,India,5954391
Kunming,25.0433,102.7061,China,5950578
Philadelphia,40.0077,-75.1339,United States,5782653
Shijiazhuang,38.0425,114.51,China,5758403
Dalian,38.9,121.6,China,5736383
Addis Ababa,9.0358,38.7525,Ethiopia,5704000
Changchun,43.88,125.3228,China,5691024
Pudong,31.2231,121.5397,China,5681512
Toronto,43.7417,-79.3733,Canada,5647656
Abidjan,5.3364,-4.0267,Côte d’Ivoire,5616633
Saint Petersburg,59.95,30.3167,Russia,5601911
Yichun,27.8041,114.383,China,5573200
Singapore,1.3,103.8,Singapore,5453566
Sydney,-33.8678,151.21,Australia,5450496
Alexandria,31.1975,29.8925,Egypt,5362517
Melbourne,-37.8142,144.9631,Australia,5350705
Kabul,34.5328,69.1658,Afghanistan,5333284
Monterrey,25.6844,-100.3181,Mexico,5324281
Atlanta,33.7628,-84.422,United States,5298788
Chattogram,22.335,91.8325,Bangladesh,5253312
Washington,38.9047,-77.0163,United States,5230370
Kanpur,24.285,72.6933,India,5230000
Rangoon,16.8053,96.1561,Burma,5160512
Hefei,31.8639,117.2808,China,5118199
Zhaotong,27.3328,103.7144,China,5092611
Tangshan,39.6294,118.1739,China,4963907
Dubai,25.2697,55.3094,United Arab Emirates,4945000
Barcelona,41.3825,2.1769,Spain,4840000
Johannesburg,-26.2044,28.0416,South Africa,4803262
Guadalajara,20.6764,-103.3422,Mexico,4721000
Jeddah,21.5428,39.1728,Saudi Arabia,4697000
Berlin,52.5167,13.3833,Germany,4679500
Kanpur,26.4725,80.3311,India,4581268
Taiyuan,37.8733,112.5425,China,4529141
Guiyang,26.5794,106.7078,China,4506134
Belahi,25.7167,86.4,India,4487379
Giza,29.987,31.2118,Egypt,4458135
Boston,42.3188,-71.0852,United States,4453352
Zhongshan,22.5333,113.35,China,4418060
Ninh Binh,20.2581,105.9797,Vietnam,4412264
